transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	genesymbol	database
NODE_1577_length_7555_cov_29.957200_g898_i2	5.76012665013204	-5.40528243883139	1.5902075263305	-3.39910505347965	0.000676067430508326	0.00227694310870117	EXC6B	HUMAN
NODE_16710_length_2221_cov_31.624192_g9805_i0	30.2322617933192	7.87971295372622	0.451114971055271	17.4671945275804	2.54715478242848e-68	3.95885253860539e-66	S47A1	MOUSE
NODE_17034_length_2178_cov_65.402261_g10007_i0	13.6592905733406	-22.5683984196324	2.70920020043796	-8.33028080242431	8.06508300818297e-17	1.39277294202346e-15	CCD25	HUMAN
NODE_17999_length_2057_cov_12.006054_g5021_i0	14.7576977531217	5.72370526837999	0.537064928045947	10.6573804571546	1.61070309555739e-26	5.10750248835512e-25	G6PT3	MOUSE
NODE_18117_length_2043_cov_25.084004_g10634_i0	33.7675327677961	5.09994536366038	0.338583865935181	15.0625764449057	2.85442515077879e-51	2.51988652310752e-49	NHRF4	MOUSE
NODE_18274_length_2038_cov_10.620479_g5038_i4	6.48916285919832	-5.42923566226638	1.27014146540189	-4.27451257214761	1.91555896843863e-05	9.16263251700055e-05	UCK2	MOUSE
NODE_19793_length_1852_cov_15.515860_g4287_i1	5.42202816660355	5.03676390875515	0.61737456845869	8.15835987758568	3.39604388667654e-16	5.63794146221362e-15	MASP1	HUMAN
NODE_19798_length_1851_cov_605.812361_g2031_i2	881.177155234665	5.18117861676554	0.527095582316436	9.8296756614725	8.38885068714952e-23	2.09911490550329e-21	IBP1	RAT
NODE_21767_length_1650_cov_24.080878_g12806_i0	32.7269408128041	5.29396878106199	0.66130489962407	8.00533730216038	1.19139653818672e-15	1.89712277040266e-14	SPEB	CHICK
NODE_22004_length_1815_cov_21.273563_g6227_i0	27.5817413773333	-21.913114410548	2.19938302479355	-9.96330069093124	2.20614173672553e-23	5.67477250926951e-22	AP3S1	BOVIN
NODE_22868_length_1549_cov_36.629853_g13489_i0	39.0129785545308	5.11922629374378	0.29055271183439	17.6189245022833	1.76325289824254e-69	2.79963967368438e-67	CSGA	MYXXA
NODE_23574_length_1488_cov_68.322401_g13897_i0	34.2638085340245	-5.56611173319381	0.886899938060808	-6.27591850481354	3.47576213782758e-10	3.40328617488264e-09	CRF	HUMAN
NODE_25913_length_1296_cov_16.788880_g15371_i0	17.2570826559636	6.15194488048865	0.393119345655487	15.6490514864663	3.37207975589514e-55	3.4138440464498e-53	SC5A1	PIG
NODE_26896_length_1228_cov_271.127025_g14510_i1	23.849903597143	5.61416298128582	0.591483795557229	9.49165982813914	2.27384334981145e-21	5.25484007647526e-20	ATPI1	ACTTE
NODE_27191_length_1210_cov_144.099567_g16142_i0	184.042815489284	10.9929327247185	0.496969571693958	22.1199311805918	2.0323819404347e-108	1.15011972885625e-105	TM252	PONAB
NODE_27425_length_1196_cov_628.093777_g16308_i0	4130.77565542828	9.47816201324544	0.486049802114599	19.5003927005215	1.08942653547752e-84	2.89682453469745e-82	AMP2	MELGA
NODE_29106_length_1511_cov_41.428969_g8301_i0	1293.14810709662	-5.39282691394775	0.857562113869498	-6.28855546056506	3.20433593848636e-10	3.15150152238833e-09	ABEC2	HUMAN
NODE_29271_length_1506_cov_6.624039_g8344_i1	57.7509959923466	-5.85370868952242	0.701388239785428	-8.34588941969317	7.06799183638987e-17	1.22730589952104e-15	DLK1	HUMAN
NODE_29491_length_1498_cov_297.283907_g8349_i1	262.505948795056	7.38731387510787	0.690672928974359	10.695820793321	1.06472740244893e-26	3.39574187457338e-25	OSTP	CHICK
NODE_3028_length_6091_cov_27.347084_g1709_i0	84.0463852005909	5.14662433579396	0.31472658662133	16.3526837406534	4.16236823495118e-60	5.04744323875673e-58	ITB6	HUMAN
NODE_31259_length_970_cov_113.736612_g15156_i1	28.2211716790312	5.01223839861528	1.3872871179066	3.61297840506059	0.000302699922154979	0.00110587440522437	LYG	DRONO
NODE_3129_length_6029_cov_25.456143_g1763_i0	20.4674811631317	-12.1261937062216	1.79876898651541	-6.74138468982198	1.56884218184502e-11	1.76384854576259e-10	PCD10	HUMAN
NODE_316_length_10923_cov_19.251380_g198_i0	36.308776350035	-5.62184142509341	0.72328163452021	-7.77268653976354	7.68387257406619e-15	1.14893677310055e-13	MYO16	HUMAN
NODE_32362_length_920_cov_155.538728_g19645_i0	467.224095649201	-5.38762720497644	1.202782642839	-4.47930242180723	7.48873708623177e-06	3.88885711748553e-05	KRSC	CHICK
NODE_33114_length_886_cov_15.067389_g20144_i0	17.0785940535188	5.02731876515932	0.677390814249154	7.42159276359805	1.15720159972362e-13	1.58630057800622e-12	GRB7	HUMAN
NODE_34202_length_1336_cov_231.752577_g9901_i0	1089.50330717011	-7.20653279895611	1.21039904202763	-5.95384872982375	2.61908901419193e-09	2.28833311730863e-08	TNNT3	CHICK
NODE_3490_length_5792_cov_13.503225_g1983_i0	14.531537612076	8.37880303846687	0.631153677967036	13.2753770293397	3.21648088092312e-40	1.81554304455175e-38	PRR35	HUMAN
NODE_3559_length_5745_cov_165.536380_g2031_i0	439.51113124416	5.46752512467479	0.6419483129	8.51707998105838	1.63626500951723e-17	2.97221142057985e-16	IBP1	HUMAN
NODE_36704_length_1259_cov_29.515203_g10057_i4	222.773174058235	6.19409379858255	0.738647725744454	8.38572107203033	5.0415750757506e-17	8.83777298823e-16	LYG	DRONO
NODE_37110_length_739_cov_71.242690_g23108_i0	86.8351929143992	-5.08129888983326	0.731318446040187	-6.94813445134137	3.70148159862848e-12	4.45429110587407e-11	MYP2	RABIT
NODE_37246_length_735_cov_219.108824_g23214_i0	550.104608422243	5.77068054455709	0.364001314725164	15.853460718718	1.33047720779976e-56	1.43237229151906e-54	ELAF	PIG
NODE_39068_length_682_cov_1603.819777_g7908_i1	1855.84255275031	9.64928798976931	0.560294815504285	17.2218048833535	1.82216082820146e-66	2.69899929385277e-64	SPHE2	APTPA
NODE_4023_length_5481_cov_28.074456_g2303_i0	14.1746016344763	5.31564025703977	0.428058277833803	12.418029348573	2.08637518419678e-35	9.71440934920317e-34	MGA	HUMAN
NODE_42117_length_1114_cov_258.267565_g11558_i1	778.151243638735	-6.39577116200505	1.67256816547823	-3.82392257249279	0.000131345177224139	0.000522586634457678	MLE1	CHICK
NODE_44389_length_1060_cov_214.158376_g11791_i1	1148.60915196445	-5.76704777931006	0.981283263953369	-5.87704691515467	4.17649872269209e-09	3.56439778846924e-08	K2C75	HUMAN
NODE_4677_length_5137_cov_29.459662_g2678_i0	70.8084975503354	-6.75770373393485	0.856118138988619	-7.89342431398324	2.94005894052622e-15	4.53755949772124e-14	FGF13	MOUSE
NODE_4888_length_5043_cov_8.767241_g2803_i0	12.3170454316262	5.36709267694281	0.401642494466424	13.362860630753	9.96592953906833e-41	5.75780274678634e-39	EX3L4	HUMAN
NODE_53_length_15486_cov_132.477156_g29_i0	37.0052893919209	-5.58501250824254	1.33470417931861	-4.18445719642071	2.85848299301702e-05	0.000132312750956136	PLEC	MOUSE
NODE_5423_length_3477_cov_27.819518_g1486_i0	552.401993049374	5.15285090508509	0.264240336619063	19.5006219376476	1.08455472264629e-84	2.89682453469745e-82	ECHP	HUMAN
NODE_5624_length_4695_cov_215.694397_g3254_i0	491.017380202395	5.9574528213456	0.497050626808186	11.9856056909161	4.22743094350544e-33	1.77969550356245e-31	ST6B1	MOUSE
NODE_57264_length_801_cov_18.341598_g17920_i0	1067.41625275041	-5.0979786402749	0.936699623699347	-5.44249032591818	5.25408147720406e-08	3.88597782177927e-07	K1C13	RAT
NODE_6586_length_4327_cov_37.526685_g3832_i0	36.8279400675366	-6.22269217911855	0.697875672699071	-8.91661999773106	4.8073579864669e-19	9.76066152358091e-18	PCSK6	HUMAN
NODE_687_length_9293_cov_30.165945_g419_i0	63.0976480063476	-7.46259886727402	1.09671223663511	-6.80451864945946	1.01387654559419e-11	1.16482328793669e-10	IQEC3	HUMAN
NODE_7186_length_4139_cov_7.068071_g4184_i0	4.41447912836776	5.09551723042891	0.556401021603069	9.15799402335391	5.28709435233664e-20	1.13397640773634e-18	TRPV6	HUMAN
NODE_77534_length_560_cov_13.802062_g28096_i0	461.285835519793	11.4279734056779	1.15088822693832	9.92969876499596	3.09188181558942e-23	7.89789718403455e-22	GLL4	CHICK
NODE_81079_length_530_cov_1.287912_g30306_i0	6.42467014239812	5.39997656249506	0.491487918990414	10.9869975514096	4.41365005391887e-28	1.52679085720987e-26	ANX13	HUMAN
NODE_9192_length_3611_cov_83.299775_g5315_i0	183.840047732985	6.02045855913287	0.890372501640187	6.7617301163753	1.36353527888761e-11	1.54245123552278e-10	POL	AVIRE
NODE_9463_length_2791_cov_14.564433_g2595_i0	19.4038534294602	-5.67784212079294	1.81002189401913	-3.13689140421687	0.00170749358364389	0.00518854239171424	RBM39	PONAB
NODE_9519_length_3531_cov_85.992520_g5494_i0	192.434300426308	5.25459322941813	0.336331055134509	15.6232769742796	5.05399678329975e-55	5.09322872180025e-53	SO1C1	HUMAN
NODE_9551_length_3521_cov_1429.012406_g5509_i0	1671.26859667065	5.48473533607162	1.14503713990214	4.79000649406044	1.66775915573088e-06	9.72096256007913e-06	FMO3	RAT
R1809922	194.274752695843	5.81675211375739	1.2459427750947	4.66855479242639	3.03325886262541e-06	1.6960735520178e-05	PNPH	HUMAN
R1813508	92.3399509163197	-5.04921451119745	0.643434198729829	-7.84728962365513	4.25124711018493e-15	6.47962871006778e-14	MCF2	HUMAN
R1813734	497.770383055714	-5.53783541101818	0.445378835550768	-12.4339887057497	1.70889822974261e-35	8.00751251176635e-34	MYOME	HUMAN
R1814200	85.792318250894	5.09227963607274	0.353478344482902	14.4061997447741	4.73031667234905e-47	3.56307470848954e-45	LPP60	MOUSE
R1814244	7.7386581492137	7.47209193780584	0.600513963075565	12.442827972787	1.52989743927471e-35	7.1840077627219e-34	GLYL3	HUMAN
R1814874	7.66982012522532	7.39681848697648	0.821591350192888	9.00303841470569	2.19555486558209e-19	4.55840977266197e-18	VATA	HUMAN
R1817418	367.093755532007	9.29144916036377	0.487585933667075	19.056023807914	5.85596688036942e-81	1.37490626648674e-78	GLL7	CHICK
R1818389	87.0303682465533	-5.2345422508445	1.29628748344891	-4.03810290362246	5.38852158251795e-05	0.000234426712647686	PHAR3	HUMAN
R1822023	29.3934258737738	-6.74532509537151	1.23110590294611	-5.47907785936983	4.27548206296944e-08	3.19647320900188e-07	KCD16	HUMAN
R1823278	64.3823542682371	-5.53780520906804	0.555211613826716	-9.97422436987496	1.97639570788882e-23	5.11360530751538e-22	GFRA2	CHICK
R1833187	52.7751108270141	5.44390026560158	1.42992655870324	3.8071187869526	0.000140595223897582	0.000554987764517912	SKT	HUMAN
R1847368	38.9378271690322	5.22698473717059	0.358871215526521	14.5650710088347	4.6849749103107e-48	3.6927641525199e-46	AASD1	HUMAN
R1866547	7.16791420175063	5.67086772260671	1.06944184580496	5.30264244367423	1.14138342102323e-07	8.03007080075954e-07	CC162	MOUSE
S1847600	15.0362553956913	7.19265997526	0.72909274874222	9.86521946304948	5.89054915147017e-23	1.4823765082434e-21	CP2H2	CHICK
S1855389	94.4006169534987	-5.69973007107	1.04174696330029	-5.47131911286122	4.46698126302183e-08	3.32724524046209e-07	ACTC	BOVIN
S1866535	10.6503587590887	7.76868891884149	2.27935292924505	3.40828698318983	0.000653721031102147	0.00220754822996334	MK11	HUMAN
S1870615	7.39362961964768	-5.67749043574849	1.44776658898154	-3.92155094540648	8.79808415153314e-05	0.000364235072639911	NRDE2	HUMAN
S1875383	27.5310417709219	5.71881034606193	0.52352496373562	10.9236631339512	8.88389512855672e-28	3.02107188732275e-26	CCD83	HUMAN
S1902652	25.3657934222631	5.47767166941241	0.495679784143813	11.0508272571051	2.1720404915174e-28	7.58495785566282e-27	ARY1	CHICK
S1920594	5.66594354973238	6.47054111624555	0.456504687443626	14.1740956757308	1.3253951761458e-45	9.3754716466467e-44	ARP8	BOVIN
S1936260	10.1244637922677	7.94835382858875	0.578659548135444	13.7358034688962	6.19648147748938e-43	3.87411745632268e-41	FKB15	MOUSE
S1950110	25.5258125398602	6.05726803170156	0.555560332679833	10.9029887041852	1.11532480377475e-27	3.75804861363491e-26	DDB1	BOVIN
S1955136	10.1233722371907	-6.13289344047446	2.09380689879692	-2.92906353685164	0.00339984918258547	0.00951869722290994	MAK	HUMAN
S1969601	66.5708926891431	-5.05030980695305	0.464878259660603	-10.8637255066309	1.71602438914115e-27	5.7123164808967e-26	BMP7	MOUSE
S48211	29.4435330620541	5.96796910543105	0.446465939967557	13.3671318933416	9.40997895838548e-41	5.45087232576293e-39	GLL12	CHICK
TRINITY_DN1016_c0_g2_i1	6.76535690244553	7.12220181829647	0.655433958394734	10.8663912314521	1.66663329477135e-27	5.55628350688878e-26	NIPS2	HUMAN
TRINITY_DN107360_c0_g1_i1	387.119503016901	5.64842553172174	0.581821253257422	9.70818013281244	2.78260799668285e-22	6.75601303485044e-21	M126	CHICK
TRINITY_DN120874_c0_g1_i1	1384.08961375066	6.57244582123281	0.756850722054423	8.68393942122738	3.82292448934944e-18	7.33031654908273e-17	FMO3	RAT
TRINITY_DN1215_c0_g1_i2	95.5349263526822	5.59867994047775	1.40309114339141	3.99024679675846	6.6004578936803e-05	0.000280894920388593	SLK	MOUSE
TRINITY_DN122362_c0_g1_i1	198.945494601103	-5.76544977700949	1.51780849275468	-3.79853572076523	0.000145553454279722	0.000571798635805175	NPY	CHICK
TRINITY_DN13347_c0_g2_i1	15.8924132696035	8.06041529580487	0.612155750933077	13.167262226188	1.35419814327861e-39	7.47178825553972e-38	PRS57	RAT
TRINITY_DN13706_c0_g1_i2	12.5730345619359	7.95622868140383	0.433395814322564	18.3578807604317	2.85534622065264e-75	5.34046534659354e-73	GPC6A	HUMAN
TRINITY_DN1396_c0_g1_i5	66.9176365871482	6.30057456696787	0.450951985355972	13.9717193217241	2.31958522621156e-44	1.5419652392316e-42	FMO4	HUMAN
TRINITY_DN15311_c0_g1_i4	20.2679339290646	5.20489939122047	0.364875929403342	14.2648472310347	3.62384640186434e-46	2.60515602896241e-44	DPTOR	HUMAN
TRINITY_DN15598_c0_g1_i1	7.38604123756516	5.17247197875898	0.472399501125253	10.9493595281921	6.69191001919868e-28	2.29333003297694e-26	VSTM5	HUMAN
TRINITY_DN15598_c0_g1_i4	6.85838930703072	5.61784958401697	0.381638514017383	14.7203423597889	4.77238122105254e-49	3.87229608634667e-47	MED17	CHICK
TRINITY_DN15624_c0_g1_i2	25.1759590538663	8.30873052009749	0.7023230143638	11.8303549081671	2.71989323537662e-32	1.1034566857493e-30	C1T9A	HUMAN
TRINITY_DN1598_c0_g2_i4	36.7980642662538	7.99879825578983	1.82256838078436	4.38875069935508	1.14003663636241e-05	5.70405997835375e-05	LS14A	MOUSE
TRINITY_DN16394_c1_g1_i1	14.2161614942364	5.0221296729333	0.669149561432865	7.50524241871921	6.13150248379648e-14	8.62474568625802e-13	GIMD1	BOVIN
TRINITY_DN17758_c0_g1_i3	16.496736931607	6.40785662573201	2.15073526087385	2.97937953699076	0.00288832773948226	0.00827110331002641	CGNL1	HUMAN
TRINITY_DN1926_c0_g1_i7	17.3131018680065	8.64118703009837	0.758869615265821	11.3869192497205	4.85865740856194e-30	1.80827266453562e-28	OSBL8	MOUSE
TRINITY_DN20120_c0_g1_i4	8.80791607925281	6.27997866440903	0.472678909528505	13.2859294921224	2.79367646889965e-40	1.58093435047732e-38	AGRG3	MOUSE
TRINITY_DN21005_c0_g1_i2	14.2791394465657	6.30675112190388	0.333045652804373	18.9365964359498	5.6962493203564e-80	1.24471507426006e-77	PTPRQ	HUMAN
TRINITY_DN21418_c0_g1_i1	12.6654414465496	6.95034192705677	0.767538937420271	9.05536069664054	1.36117163373972e-19	2.85019525205271e-18	HXD11	CHICK
TRINITY_DN22401_c0_g1_i3	35.6337875206936	5.00538190421511	0.387888120137501	12.9041897504898	4.26275567379679e-38	2.2136239463693e-36	MOT5	MOUSE
TRINITY_DN27_c2_g3_i2	74.5176804616763	-24.4852193722099	1.95137033100539	-12.547705057909	4.09198220393578e-36	1.97183509259526e-34	RASM	HUMAN
TRINITY_DN2798_c0_g1_i9	30.445387904387	-5.96988474482849	0.911735911622478	-6.54782231206052	5.83821227518764e-11	6.1917032634979e-10	AKAP2	HUMAN
TRINITY_DN3309_c0_g2_i1	17.1255229848454	5.70479824981141	0.532385665596487	10.7155369095442	8.60564737235358e-27	2.75255996388179e-25	TM199	HUMAN
TRINITY_DN3309_c0_g2_i6	12.2899403316601	6.18534674918095	1.03510226011195	5.97559003350258	2.29258880532093e-09	2.01985768197337e-08	TM199	HUMAN
TRINITY_DN385_c1_g1_i10	109.017929337982	-6.5303926151592	1.36983639911363	-4.76727923085178	1.86730430324615e-06	1.07968053373441e-05	NRX1A	HUMAN
TRINITY_DN40_c0_g3_i1	1748.51605572946	9.20521565913723	0.526804400104141	17.4736878760267	2.27314883589374e-68	3.55804218497694e-66	MIM1	CHICK
TRINITY_DN4340_c1_g1_i1	176.744367974641	-5.9745740895342	0.973546018834606	-6.13692005713929	8.41366976223276e-10	7.84162549208096e-09	TM182	CHICK
TRINITY_DN44229_c0_g1_i2	5.74528141194545	5.61050143260238	0.507081714869326	11.0642945073423	1.86928001039848e-28	6.55882509212949e-27	STOX1	HUMAN
TRINITY_DN4519_c0_g1_i1	646.007779158459	7.1497497698703	0.414672372644946	17.2419245687055	1.28680643549967e-66	1.9319604103046e-64	LECH	CHICK
TRINITY_DN4785_c0_g1_i6	30.7323361117053	5.0271446540454	0.490445391507822	10.2501618754944	1.18145509090531e-24	3.36014353818044e-23	ARSD	HUMAN
TRINITY_DN5097_c0_g1_i4	11.2169859968156	-22.1636771131417	2.40848701232919	-9.20232369935338	3.50291271079761e-20	7.57191807319326e-19	ZO2	HUMAN
TRINITY_DN5127_c0_g1_i6	246.728235099753	-5.54011408820356	0.952070282137918	-5.8190179781297	5.91943679554867e-09	4.94855947264239e-08	COR1C	MOUSE
TRINITY_DN5218_c1_g1_i1	16.152912166312	7.16066738257096	0.587174111003022	12.1951347111319	3.29957899941305e-34	1.47114562660699e-32	SPB10	OTOGA
TRINITY_DN5218_c1_g1_i2	12.8027646972975	6.76712462765988	0.533783034556871	12.6776689957517	7.86357601308149e-37	3.88253070712994e-35	SPB10	CHICK
TRINITY_DN5296_c0_g2_i13	135.28092774173	6.30714486833241	0.798201570631149	7.9016943844714	2.75137353181519e-15	4.25527777485363e-14	S26A1	RAT
TRINITY_DN5818_c1_g1_i1	6.41341614729612	5.10799908360638	0.435076282019129	11.740467809233	7.90479875228982e-32	3.18355672377803e-30	MB212	MOUSE
TRINITY_DN6229_c0_g1_i2	13.081100923754	6.10130820417479	0.600142973553015	10.1664244572478	2.79998896005047e-24	7.70520652722119e-23	MT21E	BOVIN
TRINITY_DN67747_c0_g1_i1	601.845438627659	-6.2219980307368	0.867636066303231	-7.17120722891004	7.43392745462213e-13	9.53322364459676e-12	KCRM	CHICK
TRINITY_DN67859_c0_g1_i1	461.02462132366	-6.2805146950019	0.4350268639002	-14.4370732388672	3.02413521751114e-47	2.30943474915124e-45	HEP2	RAT
TRINITY_DN689_c0_g2_i2	80.8309416126638	-24.8488241201531	1.65322471047187	-15.0305182125306	4.63366610861932e-51	4.05813535782653e-49	NFYA	MOUSE
TRINITY_DN704_c3_g2_i4	50.1608774357182	5.83176334627099	1.63225739138091	3.57282091480514	0.000353156288013581	0.0012696138257794	FMNL2	HUMAN
TRINITY_DN7278_c0_g1_i4	4.25016190937979	5.04062181260179	0.514607066026029	9.79508861300175	1.18193736458559e-22	2.92436744802736e-21	3BHS2	MOUSE
TRINITY_DN7346_c0_g2_i2	83.2803941150488	5.60514722162649	0.637841769165633	8.78767665052516	1.52684680986451e-18	2.98736782745653e-17	CP3A9	RAT
TRINITY_DN743_c0_g1_i7	108.768308017583	6.08135140193378	1.55561247073348	3.90929715230837	9.25650450122524e-05	0.000381068931807575	LMO7	HUMAN
TRINITY_DN768_c0_g1_i6	63.3895679032427	10.6506157551607	1.70458649499633	6.24821080445296	4.15181083249605e-10	4.0206434871956e-09	MTAP2	HUMAN
TRINITY_DN879_c0_g1_i1	372.739303402889	-5.85851843724599	0.867772337717742	-6.75121593833471	1.46611200610971e-11	1.65171475114044e-10	ISK5	HUMAN
TRINITY_DN884_c0_g1_i9	117.497148029409	6.69289133432964	1.09083050924169	6.13559235612354	8.48424582549569e-10	7.90073018433291e-09	PRT1B	HUMAN
TRINITY_DN907_c0_g1_i28	318.359333258797	6.24501238265189	0.459090112610802	13.6030208691211	3.84229269324029e-42	2.31692349015883e-40	LRRF1	MOUSE
TRINITY_DN907_c0_g1_i8	30.8148240798086	13.3903039359503	2.81359611614395	4.75914217364707	1.94417459917373e-06	1.11943473529257e-05	LRRF1	MOUSE
TRINITY_DN9210_c0_g1_i2	6.83349290428192	7.29832238894941	0.458724740290245	15.9100256601194	5.39913611142127e-57	5.86989822556983e-55	PODO	HUMAN
TRINITY_DN94069_c0_g1_i1	81.6430798937489	6.70097529089077	0.446296380353677	15.0146306039508	5.88890200778531e-51	5.09678695340478e-49	TSN8	PONAB
TRINITY_DN9509_c0_g1_i2	21.0698147461749	-6.27562097981844	2.05525768994128	-3.05344726869639	0.00226228476920015	0.00666692814210806	EMC6	HUMAN
TRINITY_DN9889_c0_g1_i1	155.100503282137	-5.58439884632331	0.861914709439769	-6.4790620059763	9.2294572345743e-11	9.60368322334064e-10	HHATL	MOUSE
